config,rep,chunks,time_s,cps,ms_per_chunk,cpu_avg_pct,cpu_peak_pct,ws_avg_gb,ws_peak_gb,status,lte_log_evidence
Vanilla,1,1024,4.95,206.9,4.83,26.9,26.9,2.15,2.15,ok,""
Vanilla,2,1024,4.64,220.7,4.53,20.8,20.8,3.36,3.36,ok,""
Vanilla,3,1024,5.16,198.4,5.04,29.3,29.3,3.38,3.38,ok,""
LTE-Auto,1,1024,4.99,205.2,4.87,24.4,24.4,2.65,2.65,ok,"[20:43:23] [main/INFO]: [STDOUT]: [LTE] Lumen Terrain Engine Core initialized. || [20:43:23] [main/INFO]: [STDOUT]: [LTE] Terrain processing systems ready. || [20:43:23] [main/INFO]: [STDOUT]: [LTE] Default config written || [20:43:23] [main/INFO]: [STDOUT]: [LTE] Platform detected: windows-x86_64 || [20:43:23] [main/INFO]: [STDOUT]: [LTE] Extracted native library: C:\Users\heath\lte-bench\B-lte\lte-native\windows-x86_64\2.1.0\LumenTerrainEngine.dll || [20:43:24] [main/INFO]: [STDOUT]: [LTE] Native library loaded! || [LTE] Initializing LTE native core || [LTE] OpenCL device 0: Intel(R) UHD Graphics || [LTE] OpenCL device 1: NVIDIA GeForce RTX 2050 || [LTE] OpenCL: 2 usable GPU device(s) || [LTE] GPU 0: Intel(R) UHD Graphics || [LTE] GPU 1: NVIDIA GeForce RTX 2050 || [20:43:26] [main/INFO]: [STDOUT]: [LTE] Native core initialized (v2.1.0) || [20:43:26] [main/INFO]: [STDOUT]: [LTE] Native version: 2.1.0 || [20:43:26] [main/INFO]: [STDOUT]: [LTE] GPU runtime available: true || [LTE] OpenCL[0]: pipeline ready (Intel(R) UHD Graphics) || [20:43:27] [main/INFO]: [STDOUT]: [LTE] GPU ready: Intel(R) UHD Graphics (7551 chunks/s) || [LTE] OpenCL[1]: pipeline ready (NVIDIA GeForce RTX 2050) || [20:43:27] [main/INFO]: [STDOUT]: [LTE] GPU ready: NVIDIA GeForce RTX 2050 (14612 chunks/s) || [20:43:27] [main/INFO]: [STDOUT]: [LTE] Usable GPU devices: 2 (Intel(R) UHD Graphics, NVIDIA GeForce RTX 2050) || [20:43:27] [main/INFO]: [STDOUT]: [LTE] No hardware profile found || [20:43:27] [main/INFO]: [STDOUT]: [LTE] Running hardware benchmark... || [20:43:27] [main/INFO]: [STDOUT]: [LTE] CPU Score: 1146131 || [20:43:27] [main/INFO]: [STDOUT]: [LTE] GPU Score: 21752 || [20:43:27] [main/INFO]: [STDOUT]: [LTE] Comparing hardware scores..."
LTE-Auto,2,1024,6.11,167.6,5.97,25.9,25.9,2.59,2.59,ok,"[20:45:39] [main/INFO]: [STDOUT]: [LTE] Lumen Terrain Engine Core initialized. || [20:45:39] [main/INFO]: [STDOUT]: [LTE] Terrain processing systems ready. || [20:45:39] [main/INFO]: [STDOUT]: [LTE] Config loaded || [20:45:39] [main/INFO]: [STDOUT]: [LTE] Platform detected: windows-x86_64 || [20:45:39] [main/INFO]: [STDOUT]: [LTE] Native library loaded! || [LTE] Initializing LTE native core || [LTE] OpenCL device 0: Intel(R) UHD Graphics || [LTE] OpenCL device 1: NVIDIA GeForce RTX 2050 || [LTE] OpenCL: 2 usable GPU device(s) || [LTE] GPU 0: Intel(R) UHD Graphics || [LTE] GPU 1: NVIDIA GeForce RTX 2050 || [20:45:41] [main/INFO]: [STDOUT]: [LTE] Native core initialized (v2.1.0) || [20:45:41] [main/INFO]: [STDOUT]: [LTE] Native version: 2.1.0 || [20:45:41] [main/INFO]: [STDOUT]: [LTE] GPU runtime available: true || [LTE] OpenCL[0]: pipeline ready (Intel(R) UHD Graphics) || [20:45:42] [main/INFO]: [STDOUT]: [LTE] GPU ready: Intel(R) UHD Graphics (9611 chunks/s) || [LTE] OpenCL[1]: pipeline ready (NVIDIA GeForce RTX 2050) || [20:45:42] [main/INFO]: [STDOUT]: [LTE] GPU ready: NVIDIA GeForce RTX 2050 (15253 chunks/s) || [20:45:42] [main/INFO]: [STDOUT]: [LTE] Usable GPU devices: 2 (Intel(R) UHD Graphics, NVIDIA GeForce RTX 2050) || [20:45:42] [main/INFO]: [STDOUT]: [LTE] Hardware profile loaded || [20:45:42] [main/INFO]: [STDOUT]: [LTE] Using cached hardware profile || [20:45:42] [main/INFO]: [STDOUT]: [LTE] Cached CPU score: 1146131 || [20:45:42] [main/INFO]: [STDOUT]: [LTE] Cached GPU score: 21752 || [20:45:42] [main/INFO]: [STDOUT]: [LTE] Backend: CPU || [20:45:42] [main/INFO]: [STDOUT]: [LTE] Worker pool started: 3 thread(s)"
LTE-Auto,3,1024,5.5,186.2,5.37,28.2,28.2,2.43,2.43,ok,"[20:47:51] [main/INFO]: [STDOUT]: [LTE] Lumen Terrain Engine Core initialized. || [20:47:51] [main/INFO]: [STDOUT]: [LTE] Terrain processing systems ready. || [20:47:51] [main/INFO]: [STDOUT]: [LTE] Config loaded || [20:47:51] [main/INFO]: [STDOUT]: [LTE] Platform detected: windows-x86_64 || [20:47:51] [main/INFO]: [STDOUT]: [LTE] Native library loaded! || [LTE] Initializing LTE native core || [LTE] OpenCL device 0: Intel(R) UHD Graphics || [LTE] OpenCL device 1: NVIDIA GeForce RTX 2050 || [LTE] OpenCL: 2 usable GPU device(s) || [LTE] GPU 0: Intel(R) UHD Graphics || [LTE] GPU 1: NVIDIA GeForce RTX 2050 || [20:47:53] [main/INFO]: [STDOUT]: [LTE] Native core initialized (v2.1.0) || [20:47:53] [main/INFO]: [STDOUT]: [LTE] Native version: 2.1.0 || [20:47:53] [main/INFO]: [STDOUT]: [LTE] GPU runtime available: true || [LTE] OpenCL[0]: pipeline ready (Intel(R) UHD Graphics) || [20:47:54] [main/INFO]: [STDOUT]: [LTE] GPU ready: Intel(R) UHD Graphics (7257 chunks/s) || [LTE] OpenCL[1]: pipeline ready (NVIDIA GeForce RTX 2050) || [20:47:54] [main/INFO]: [STDOUT]: [LTE] GPU ready: NVIDIA GeForce RTX 2050 (12597 chunks/s) || [20:47:54] [main/INFO]: [STDOUT]: [LTE] Usable GPU devices: 2 (Intel(R) UHD Graphics, NVIDIA GeForce RTX 2050) || [20:47:54] [main/INFO]: [STDOUT]: [LTE] Hardware profile loaded || [20:47:54] [main/INFO]: [STDOUT]: [LTE] Using cached hardware profile || [20:47:54] [main/INFO]: [STDOUT]: [LTE] Cached CPU score: 1146131 || [20:47:54] [main/INFO]: [STDOUT]: [LTE] Cached GPU score: 21752 || [20:47:54] [main/INFO]: [STDOUT]: [LTE] Backend: CPU || [20:47:54] [main/INFO]: [STDOUT]: [LTE] Worker pool started: 3 thread(s)"
LTE-CPU,1,1024,4.89,209.4,4.78,25.5,25.5,2.47,2.47,ok,"[20:52:55] [main/INFO]: [STDOUT]: [LTE] Lumen Terrain Engine Core initialized. || [20:52:55] [main/INFO]: [STDOUT]: [LTE] Terrain processing systems ready. || [20:52:55] [main/INFO]: [STDOUT]: [LTE] Config loaded || [20:52:55] [main/INFO]: [STDOUT]: [LTE] Platform detected: windows-x86_64 || [20:52:55] [main/INFO]: [STDOUT]: [LTE] Native library loaded! || [LTE] Initializing LTE native core || [LTE] OpenCL device 0: Intel(R) UHD Graphics || [LTE] OpenCL device 1: NVIDIA GeForce RTX 2050 || [LTE] OpenCL: 2 usable GPU device(s) || [LTE] GPU 0: Intel(R) UHD Graphics || [LTE] GPU 1: NVIDIA GeForce RTX 2050 || [20:52:57] [main/INFO]: [STDOUT]: [LTE] Native core initialized (v2.1.0) || [20:52:57] [main/INFO]: [STDOUT]: [LTE] Native version: 2.1.0 || [20:52:57] [main/INFO]: [STDOUT]: [LTE] GPU runtime available: true || [LTE] OpenCL[0]: pipeline ready (Intel(R) UHD Graphics) || [20:52:58] [main/INFO]: [STDOUT]: [LTE] GPU ready: Intel(R) UHD Graphics (7985 chunks/s) || [LTE] OpenCL[1]: pipeline ready (NVIDIA GeForce RTX 2050) || [20:52:58] [main/INFO]: [STDOUT]: [LTE] GPU ready: NVIDIA GeForce RTX 2050 (10637 chunks/s) || [20:52:58] [main/INFO]: [STDOUT]: [LTE] Usable GPU devices: 2 (Intel(R) UHD Graphics, NVIDIA GeForce RTX 2050) || [20:52:58] [main/INFO]: [STDOUT]: [LTE] Hardware profile loaded || [20:52:58] [main/INFO]: [STDOUT]: [LTE] Using cached hardware profile || [20:52:58] [main/INFO]: [STDOUT]: [LTE] Cached CPU score: 1146131 || [20:52:58] [main/INFO]: [STDOUT]: [LTE] Cached GPU score: 21752 || [20:52:58] [main/INFO]: [STDOUT]: [LTE] Backend: CPU || [20:52:58] [main/INFO]: [STDOUT]: [LTE] Worker pool started: 3 thread(s)"
LTE-CPU,2,1024,5.66,180.9,5.53,27.1,27.1,3.03,3.03,ok,"[20:55:10] [main/INFO]: [STDOUT]: [LTE] Lumen Terrain Engine Core initialized. || [20:55:10] [main/INFO]: [STDOUT]: [LTE] Terrain processing systems ready. || [20:55:10] [main/INFO]: [STDOUT]: [LTE] Config loaded || [20:55:10] [main/INFO]: [STDOUT]: [LTE] Platform detected: windows-x86_64 || [20:55:10] [main/INFO]: [STDOUT]: [LTE] Native library loaded! || [LTE] Initializing LTE native core || [LTE] OpenCL device 0: Intel(R) UHD Graphics || [LTE] OpenCL device 1: NVIDIA GeForce RTX 2050 || [LTE] OpenCL: 2 usable GPU device(s) || [LTE] GPU 0: Intel(R) UHD Graphics || [LTE] GPU 1: NVIDIA GeForce RTX 2050 || [20:55:13] [main/INFO]: [STDOUT]: [LTE] Native core initialized (v2.1.0) || [20:55:13] [main/INFO]: [STDOUT]: [LTE] Native version: 2.1.0 || [20:55:13] [main/INFO]: [STDOUT]: [LTE] GPU runtime available: true || [LTE] OpenCL[0]: pipeline ready (Intel(R) UHD Graphics) || [20:55:14] [main/INFO]: [STDOUT]: [LTE] GPU ready: Intel(R) UHD Graphics (7315 chunks/s) || [LTE] OpenCL[1]: pipeline ready (NVIDIA GeForce RTX 2050) || [20:55:14] [main/INFO]: [STDOUT]: [LTE] GPU ready: NVIDIA GeForce RTX 2050 (9499 chunks/s) || [20:55:14] [main/INFO]: [STDOUT]: [LTE] Usable GPU devices: 2 (Intel(R) UHD Graphics, NVIDIA GeForce RTX 2050) || [20:55:14] [main/INFO]: [STDOUT]: [LTE] Hardware profile loaded || [20:55:14] [main/INFO]: [STDOUT]: [LTE] Using cached hardware profile || [20:55:14] [main/INFO]: [STDOUT]: [LTE] Cached CPU score: 1146131 || [20:55:14] [main/INFO]: [STDOUT]: [LTE] Cached GPU score: 21752 || [20:55:14] [main/INFO]: [STDOUT]: [LTE] Backend: CPU || [20:55:14] [main/INFO]: [STDOUT]: [LTE] Worker pool started: 3 thread(s)"
LTE-CPU,3,1024,5.5,186.2,5.37,25.2,25.2,2.26,2.26,ok,"[20:57:21] [main/INFO]: [STDOUT]: [LTE] Lumen Terrain Engine Core initialized. || [20:57:21] [main/INFO]: [STDOUT]: [LTE] Terrain processing systems ready. || [20:57:21] [main/INFO]: [STDOUT]: [LTE] Config loaded || [20:57:21] [main/INFO]: [STDOUT]: [LTE] Platform detected: windows-x86_64 || [20:57:21] [main/INFO]: [STDOUT]: [LTE] Native library loaded! || [LTE] Initializing LTE native core || [LTE] OpenCL device 0: Intel(R) UHD Graphics || [LTE] OpenCL device 1: NVIDIA GeForce RTX 2050 || [LTE] OpenCL: 2 usable GPU device(s) || [LTE] GPU 0: Intel(R) UHD Graphics || [LTE] GPU 1: NVIDIA GeForce RTX 2050 || [20:57:23] [main/INFO]: [STDOUT]: [LTE] Native core initialized (v2.1.0) || [20:57:23] [main/INFO]: [STDOUT]: [LTE] Native version: 2.1.0 || [20:57:23] [main/INFO]: [STDOUT]: [LTE] GPU runtime available: true || [LTE] OpenCL[0]: pipeline ready (Intel(R) UHD Graphics) || [20:57:24] [main/INFO]: [STDOUT]: [LTE] GPU ready: Intel(R) UHD Graphics (8732 chunks/s) || [LTE] OpenCL[1]: pipeline ready (NVIDIA GeForce RTX 2050) || [20:57:24] [main/INFO]: [STDOUT]: [LTE] GPU ready: NVIDIA GeForce RTX 2050 (11267 chunks/s) || [20:57:24] [main/INFO]: [STDOUT]: [LTE] Usable GPU devices: 2 (Intel(R) UHD Graphics, NVIDIA GeForce RTX 2050) || [20:57:24] [main/INFO]: [STDOUT]: [LTE] Hardware profile loaded || [20:57:24] [main/INFO]: [STDOUT]: [LTE] Using cached hardware profile || [20:57:24] [main/INFO]: [STDOUT]: [LTE] Cached CPU score: 1146131 || [20:57:24] [main/INFO]: [STDOUT]: [LTE] Cached GPU score: 21752 || [20:57:24] [main/INFO]: [STDOUT]: [LTE] Backend: CPU || [20:57:24] [main/INFO]: [STDOUT]: [LTE] Worker pool started: 3 thread(s)"
LTE-GPU-Multi,1,1024,4.6,222.6,4.49,27.2,27.2,2.56,2.56,ok,"[21:01:09] [main/INFO]: [STDOUT]: [LTE] Lumen Terrain Engine Core initialized. || [21:01:09] [main/INFO]: [STDOUT]: [LTE] Terrain processing systems ready. || [21:01:09] [main/INFO]: [STDOUT]: [LTE] Config loaded || [21:01:09] [main/INFO]: [STDOUT]: [LTE] Platform detected: windows-x86_64 || [21:01:09] [main/INFO]: [STDOUT]: [LTE] Native library loaded! || [LTE] Initializing LTE native core || [LTE] OpenCL device 0: Intel(R) UHD Graphics || [LTE] OpenCL device 1: NVIDIA GeForce RTX 2050 || [LTE] OpenCL: 2 usable GPU device(s) || [LTE] GPU 0: Intel(R) UHD Graphics || [LTE] GPU 1: NVIDIA GeForce RTX 2050 || [21:01:11] [main/INFO]: [STDOUT]: [LTE] Native core initialized (v2.1.0) || [21:01:11] [main/INFO]: [STDOUT]: [LTE] Native version: 2.1.0 || [21:01:11] [main/INFO]: [STDOUT]: [LTE] GPU runtime available: true || [LTE] OpenCL[0]: pipeline ready (Intel(R) UHD Graphics) || [21:01:11] [main/INFO]: [STDOUT]: [LTE] GPU ready: Intel(R) UHD Graphics (8149 chunks/s) || [LTE] OpenCL[1]: pipeline ready (NVIDIA GeForce RTX 2050) || [21:01:12] [main/INFO]: [STDOUT]: [LTE] GPU ready: NVIDIA GeForce RTX 2050 (7642 chunks/s) || [21:01:12] [main/INFO]: [STDOUT]: [LTE] Usable GPU devices: 2 (Intel(R) UHD Graphics, NVIDIA GeForce RTX 2050) || [21:01:12] [main/INFO]: [STDOUT]: [LTE] Hardware profile loaded || [21:01:12] [main/INFO]: [STDOUT]: [LTE] Using cached hardware profile || [21:01:12] [main/INFO]: [STDOUT]: [LTE] Cached CPU score: 1146131 || [21:01:12] [main/INFO]: [STDOUT]: [LTE] Cached GPU score: 21752 || [21:01:12] [main/INFO]: [STDOUT]: [LTE] Backend: CPU || [21:01:12] [main/INFO]: [STDOUT]: [LTE] Worker pool started: 3 thread(s)"
